item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
DEF3,a,a,a,a,a,,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,,,,,a,a,a,,,,a,a,a,a,a,,a,,a,a,a,a,,a,a,,a,a,a,a,a,b,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
DEF4,d,e,e,d,,,e,,b,e,d,g,e,b,e,e,e,e,d,d,e,,c,,,d,e,e,e,g,a,e,d,e,d,d,c,e,,d,e,d,d,,d,d,,d,d,f,e,d,d,e,d,e,d,d,e,d,d,d,d,d,d,f,d,d,d,d,e,e,d,d,e,d,d,e,d,e
DEF5,a,a,a,a,a,,a,b,a,a,b,a,b,b,a,a,a,a,a,a,a,,a,,,a,a,b,a,a,b,a,a,b,a,a,b,a,,b,a,a,a,,a,a,,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,b,a,a,a,a,a,a,a,a,a
BRK1,a,,a,a,a,,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,,b,,,a,a,a,a,a,a,a,a,a,a,a,,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,,a,a,a,a,a,a,a,a
BRK2,d,d,d,d,d,,d,d,d,d,d,d,c,c,d,d,d,c,d,d,d,,c,,,d,d,d,d,d,a,d,d,d,d,d,b,d,,d,d,d,d,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
BRK3,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,,,a,a,a,a,a,a,a,a,a,a,a,b,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
BRK4,a,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,,b,,,b,b,b,b,a,a,b,b,b,b,b,c,b,,b,b,b,b,,b,b,,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,a,b,b,b,b,b,b,b,b,b
BRK5,b,b,b,b,b,,b,a,b,b,a,a,a,b,b,a,a,a,a,a,a,,a,,,b,b,b,b,a,b,b,b,b,b,a,c,b,,b,a,b,b,,b,b,,b,b,b,b,b,a,b,b,b,b,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a
BRK6,a,c,e,a,e,,a,e,e,e,a,c,e,e,,b,b,b,e,a,,,c,,,a,e,e,e,e,b,e,c,a,e,a,b,e,,c,c,c,b,,e,a,,a,c,e,c,d,b,c,e,c,a,c,c,c,c,e,e,a,a,c,e,a,a,a,b,a,e,a,c,c,c,a,c,e
FNC1,a,a,,b,b,,b,b,c,c,c,c,a,b,a,c,c,a,a,a,a,,a,,,b,b,b,b,a,c,a,b,c,a,b,b,b,,b,b,a,d,,c,b,,b,b,b,a,b,a,c,a,a,c,b,b,b,b,b,b,b,b,b,a,b,b,b,c,b,b,b,b,b,b,c,b,a
FNC2,c,a,b,b,b,,a,c,b,,a,b,a,b,a,b,,a,a,b,b,,c,,,b,b,b,b,d,b,b,b,b,c,a,c,a,,a,b,b,b,,b,b,,b,a,a,a,b,b,b,b,b,b,c,b,b,c,b,b,b,b,b,a,b,b,b,a,b,b,b,a,b,b,b,b,b
FNC3,c,c,,d,d,,a,b,c,e,d,c,d,c,c,c,a,e,d,d,d,,c,,,d,c,d,c,c,c,a,d,d,c,d,d,c,,c,a,c,c,,d,d,,d,d,c,d,d,c,d,a,c,d,d,d,d,c,d,d,d,d,b,,d,d,d,d,d,c,d,c,d,d,d,d,d
FNC4,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,,a,,,a,a,a,b,a,a,a,a,a,a,a,c,a,,a,b,b,a,,a,a,,a,,a,a,a,a,a,a,a,b,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,b,a,b,a
FNC5,a,a,a,a,a,,a,b,b,a,b,b,b,b,a,a,a,b,a,a,a,,a,,,a,a,b,b,a,a,b,b,a,a,a,a,a,,b,b,b,b,,b,b,,b,b,b,b,b,b,a,b,a,b,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,a
FNC6,a,a,a,b,b,,a,a,b,a,b,b,c,a,a,a,a,a,a,b,b,,a,,,a,a,b,b,a,b,b,b,b,a,a,a,b,,a,b,b,b,,b,b,,b,b,b,b,b,b,b,a,b,b,a,b,a,a,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b
